Samples	Correlation
A_01	0.397
A_02	0.386
A_03	0.423
A_04	0.327
A_05	0.472
A_06	0.391
A_07	0.366
A_08	0.454
A_09	0.338
A_10	0.329
A_11	0.313
A_12	0.327
A_13	0.342
A_14	0.354
A_15	0.334
A_16	0.431
B_01	0.764
B_02	0.874
B_03	0.905
B_04	0.828
B_05	0.696
B_06	0.855
B_07	0.692
B_08	0.797
B_09	0.762
B_10	0.831
B_11	0.944
B_12	0.791
B_13	0.88
B_14	0.872
B_15	0.871
B_16	0.848
C_01	0.882
C_02	0.795
C_03	0.857
C_04	0.967
C_05	0.808
C_06	0.843
C_07	0.906
C_08	0.758
C_09	0.953
C_10	0.888
C_11	0.849
C_12	0.776
C_13	0.847
C_14	0.771
C_15	0.737
C_16	0.805
D_01	0.433
D_02	0.268
D_03	0.254
D_04	0.228
D_05	0.192
D_06	0.186
D_07	0.219
D_08	0.257
D_09	0.204
D_10	0.2
D_11	0.193
D_12	0.278
D_13	0.192
D_14	0.186
D_15	0.214
D_16	0.192
E_01	0.302
E_02	0.957
E_03	0.13
E_04	0.029
E_05	0.353
E_06	0.093
E_07	0.084
E_08	0.268
E_09	0.161
E_10	0.255
E_11	0.189
E_12	0.728
E_13	0.087
E_14	0.466
E_15	0.282
E_16	0.341
F_01	0.937
F_02	0.932
F_03	0.923
F_04	0.712
F_05	0.974
F_06	0.639
F_07	0.996
F_08	0.982
F_09	0.995
F_10	0.999
F_11	0.966
F_12	0.997
F_13	0.22
F_14	0.902
F_15	0.892
F_16	0.767
